,역사명,노선명,역위도,역경도,위경도
0,다대포해수욕장,부산도시철도 1호선,35.04867,128.9641,"[35.04867, 128.9641]"
1,다대포항역,부산도시철도 1호선,35.05782,128.9713,"[35.05782, 128.9713]"
2,낫개역,부산도시철도 1호선,35.065265,128.979873,"[35.065265, 128.979873]"
3,신장림역,부산도시철도 1호선,35.074433,128.977041,"[35.074433, 128.977041]"
4,장림역,부산도시철도 1호선,35.08109,128.9775,"[35.08109, 128.9775]"
5,동매역,부산도시철도 1호선,35.0899,128.9742,"[35.0899, 128.9742]"
6,신평역,부산도시철도 1호선,35.095179,128.960564,"[35.095179, 128.960564]"
7,하단역,부산도시철도 1호선,35.10618,128.966803,"[35.10618, 128.966803]"
8,당리역,부산도시철도 1호선,35.103532,128.973846,"[35.103532, 128.973846]"
9,사하역,부산도시철도 1호선,35.099847,128.9831,"[35.099847, 128.9831]"
10,괴정역,부산도시철도 1호선,35.099816,128.992144,"[35.099816, 128.992144]"
11,대티역,부산도시철도 1호선,35.103126,128.999936,"[35.103126, 128.999936]"
12,서대신역,부산도시철도 1호선,35.110937,129.012178,"[35.110937, 129.012178]"
13,동대신역,부산도시철도 1호선,35.110452,129.017684,"[35.110452, 129.017684]"
14,토성역,부산도시철도 1호선,35.100727,129.019776,"[35.100727, 129.019776]"
15,자갈치역,부산도시철도 1호선,35.097372,129.02667,"[35.097372, 129.02667]"
16,남포역,부산도시철도 1호선,35.097953,129.034869,"[35.097953, 129.034869]"
17,중앙역,부산도시철도 1호선,35.103837,129.036371,"[35.103837, 129.036371]"
18,부산역,부산도시철도 1호선,35.115224,129.0397,"[35.115224, 129.0397]"
19,초량역,부산도시철도 1호선,35.121168,129.043039,"[35.121168, 129.043039]"
20,부산진역,부산도시철도 1호선,35.127787,129.047894,"[35.127787, 129.047894]"
21,좌천역,부산도시철도 1호선,35.134361,129.054455,"[35.134361, 129.054455]"
22,범일역,부산도시철도 1호선,35.140952,129.059352,"[35.140952, 129.059352]"
23,범내골역,부산도시철도 1호선,35.1474,129.059261,"[35.1474, 129.059261]"
24,서면역(1호선),부산도시철도 1호선,35.158282,129.059556,"[35.158282, 129.059556]"
25,부전역,부산도시철도 1호선,35.162587,129.062952,"[35.162587, 129.062952]"
26,양정역,부산도시철도 1호선,35.173122,129.071366,"[35.173122, 129.071366]"
27,시청역,부산도시철도 1호선,35.179837,129.076642,"[35.179837, 129.076642]"
28,연산역,부산도시철도 1호선,35.186168,129.081534,"[35.186168, 129.081534]"
29,교대역,부산도시철도 1호선,35.19605,129.080035,"[35.19605, 129.080035]"
30,동래역,부산도시철도 1호선,35.205641,129.078506,"[35.205641, 129.078506]"
31,명륜역,부산도시철도 1호선,35.212551,129.079659,"[35.212551, 129.079659]"
32,온천장역,부산도시철도 1호선,35.220249,129.086437,"[35.220249, 129.086437]"
33,부산대역,부산도시철도 1호선,35.229609,129.089358,"[35.229609, 129.089358]"
